Sel.;Produto;Derivação;Descrição;Custo Variável;Custo Direto Fixo;CIF;Custo Total;UM;Origem Valor;Obs.
0;2102110001;AMARELO;ASSENTO M1 - AMARELO;10,376170;3,752007;0,000000;14,128177;UN;Calculado;
0;2102110001;AZUL;ASSENTO M1 - AZUL;10,240117;3,752007;0,000000;13,992124;UN;Calculado;
0;2102110001;LARANJA;ASSENTO M1 - LARANJA;11,246999;3,752007;0,000000;14,999006;UN;Calculado;
0;2102110001;LILAS;ASSENTO M1 - LILAS;10,759428;3,752007;0,000000;14,511435;UN;Calculado;
0;2102110001;LIMAO;ASSENTO M1 - VERDE LIMAO;10,516754;3,752007;0,000000;14,268762;UN;Calculado;
0;2102110001;VERDE;ASSENTO M1 - VERDE;10,151370;3,752007;0,000000;13,903378;UN;Calculado;
0;2102110001;VERMELH;ASSENTO M1 - VERMELHO;10,377448;3,752007;0,000000;14,129455;UN;Calculado;
0;2102110002;AMARELO;ASSENTO M2 - AMARELO;20,752344;7,504014;0,000000;28,256358;UN;Calculado;
0;2102110002;AZUL;ASSENTO M2 - AZUL;20,480238;7,504014;0,000000;27,984253;UN;Calculado;
0;2102110002;LARANJA;ASSENTO M2 - LARANJA;22,494003;7,504014;0,000000;29,998018;UN;Calculado;
0;2102110002;LILAS;ASSENTO M2 - LILAS;21,518861;7,504014;0,000000;29,022875;UN;Calculado;
0;2102110002;LIMAO;ASSENTO M2 - VERDE LIMAO;21,033514;7,504014;0,000000;28,537528;UN;Calculado;
0;2102110002;VERDE;ASSENTO M2 - VERDE;20,302746;7,504014;0,000000;27,806760;UN;Calculado;
0;2102110002;VERMELH;ASSENTO M2 - VERMELHO;20,754901;7,504014;0,000000;28,258915;UN;Calculado;
0;2102110003;AMARELO;ASSENTO M3 - AMARELO;0,488285;6,097012;0,000000;6,585297;UN;Calculado;
0;2102110003;AZUL;ASSENTO M3 - AZUL;17,128483;6,097012;0,000000;23,225494;UN;Calculado;
0;2102110003;LARANJA;ASSENTO M3 - LARANJA;18,764667;6,097012;0,000000;24,861678;UN;Calculado;
0;2102110003;LILAS;ASSENTO M3 - LILAS;0,488285;6,097012;0,000000;6,585297;UN;Calculado;
0;2102110003;VERDE;ASSENTO M3 - VERDE;16,984270;6,097012;0,000000;23,081282;UN;Calculado;
0;2102110003;VERMELH;ASSENTO M3 - VERMELHO;0,488285;6,097012;0,000000;6,585297;UN;Calculado;
0;2102110004;AMARELO;ASSENTO M4 - AMARELO;7,782136;2,814005;0,000000;10,596141;UN;Calculado;
0;2102110004;AZUL;ASSENTO M4 - AZUL;7,680096;2,814005;0,000000;10,494101;UN;Calculado;
0;2102110004;LARANJA;ASSENTO M4 - LARANJA;8,435258;2,814005;0,000000;11,249263;UN;Calculado;
0;2102110004;LILAS;ASSENTO M4 - LILAS;8,069579;2,814005;0,000000;10,883585;UN;Calculado;
0;2102110004;LIMAO;ASSENTO M4 - VERDE LIMAO;7,887574;2,814005;0,000000;10,701580;UN;Calculado;
0;2102110004;VERDE;ASSENTO M4 - VERDE;7,613536;2,814005;0,000000;10,427542;UN;Calculado;
0;2102120001;AMARELO;DUTO RETO M1 - AMARELO;128,723006;46,900090;0,000000;175,623096;UN;Calculado;
0;2102120001;AZUL;DUTO RETO M1 - AZUL;127,022346;46,900090;0,000000;173,922436;UN;Calculado;
0;2102120001;LARANJA;DUTO RETO M1 - LARANJA;139,608376;46,900090;0,000000;186,508466;UN;Calculado;
0;2102120001;LILAS;DUTO RETO M1 - LILAS;133,513736;46,900090;0,000000;180,413826;UN;Calculado;
0;2102120001;VERDE;DUTO RETO M1 - VERDE;125,913016;46,900090;0,000000;172,813106;UN;Calculado;
0;2102120001;VERMELH;DUTO RETO M1 - VERMELHO;128,738986;46,900090;0,000000;175,639076;UN;Calculado;
0;2102120002;AMARELO;DUTO RETO M2 - AMARELO;321,807510;117,250225;0,000000;439,057735;UN;Calculado;
0;2102120002;AZUL;DUTO RETO M2 - AZUL;317,555860;117,250225;0,000000;434,806085;UN;Calculado;
0;2102120002;LARANJA;DUTO RETO M2 - LARANJA;349,020935;117,250225;0,000000;466,271160;UN;Calculado;
0;2102120002;LILAS;DUTO RETO M2 - LILAS;333,784335;117,250225;0,000000;451,034560;UN;Calculado;
0;2102120002;LIMAO;DUTO RETO M2 - VERDE LIMAO;328,648720;117,250225;0,000000;445,898945;UN;Calculado;
0;2102120002;VERDE;DUTO RETO M2 - VERDE;314,782535;117,250225;0,000000;432,032760;UN;Calculado;
0;2102120002;VERMELH;DUTO RETO M2 - VERMELHO;321,847460;117,250225;0,000000;439,097685;UN;Calculado;
0;2102120003;AMARELO;DUTO RETO M3 - AMARELO;258,180393;93,800180;0,000000;351,980573;UN;Calculado;
0;2102120003;AZUL;DUTO RETO M3 - AZUL;254,779073;93,800180;0,000000;348,579253;UN;Calculado;
0;2102120003;LARANJA;DUTO RETO M3 - LARANJA;279,951133;93,800180;0,000000;373,751313;UN;Calculado;
0;2102120003;LILAS;DUTO RETO M3 - LILAS;267,761853;93,800180;0,000000;361,562033;UN;Calculado;
0;2102120003;VERDE;DUTO RETO M3 - VERDE;252,560413;93,800180;0,000000;346,360593;UN;Calculado;
0;2102120003;VERMELH;DUTO RETO M3 - VERMELHO;258,212353;93,800180;0,000000;352,012533;UN;Calculado;
0;2102120004;AMARELO;DUTO CURVO M1 - AMARELO;321,807515;117,250225;0,000000;439,057740;UN;Calculado;
0;2102120004;AZUL;DUTO CURVO M1 - AZUL;317,555865;117,250225;0,000000;434,806090;UN;Calculado;
0;2102120004;LARANJA;DUTO CURVO M1 - LARANJA;349,020940;117,250225;0,000000;466,271165;UN;Calculado;
0;2102120004;LILAS;DUTO CURVO M1 - LILAS;333,784340;117,250225;0,000000;451,034565;UN;Calculado;
0;2102120004;LIMAO;DUTO CURVO M1 - VERDE LIMAO;326,200790;117,250225;0,000000;443,451015;UN;Calculado;
0;2102120004;VERDE;DUTO CURVO M1 - VERDE;314,782540;117,250225;0,000000;432,032765;UN;Calculado;
0;2102120004;VERMELH;DUTO CURVO M1 - VERMELHO;321,847465;117,250225;0,000000;439,097690;UN;Calculado;
0;2102120005;AMARELO;DUTO CURVO M2 - AMARELO;220,493701;79,730153;0,000000;300,223854;UN;Calculado;
0;2102120005;AZUL;DUTO CURVO M2 - AZUL;217,602579;79,730153;0,000000;297,332732;UN;Calculado;
0;2102120005;COLORID;DUTO CURVO M2 - COLORIDA;138,729295;79,730153;0,000000;218,459448;UN;Calculado;
0;2102120005;LARANJA;DUTO CURVO M2 - LARANJA;238,998830;79,730153;0,000000;318,728983;UN;Calculado;
0;2102120005;LILAS;DUTO CURVO M2 - LILAS;228,637942;79,730153;0,000000;308,368095;UN;Calculado;
0;2102120005;LIMAO;DUTO CURVO M2 - VERDE LIMAO;223,481128;79,730153;0,000000;303,211281;UN;Calculado;
0;2102120005;VERDE;DUTO CURVO M2 - VERDE;215,716718;79,730153;0,000000;295,446871;UN;Calculado;
0;2102120005;VERMELH;DUTO CURVO M2 - VERMELHO;220,520867;79,730153;0,000000;300,251020;UN;Calculado;
0;2102120006;VERDE;DUTO RETO M4 - VERDE;329,919699;117,250225;0,000000;447,169924;UN;Calculado;
0;2102120006;VERMELH;DUTO RETO M4 - VERMELHO;337,267221;117,250225;0,000000;454,517446;UN;Calculado;
0;2102120007;VERDE;DUTO RETO M5 - VERDE;156,077399;548,731053;0,000000;704,808452;UN;Calculado;
0;2102120007;VERMELH;DUTO RETO M5 - VERMELHO;159,553342;548,731053;0,000000;708,284395;UN;Calculado;
0;2102130001;AMARELO;ESCADA M1 - AMARELO;168,612829;60,970117;0,000000;229,582946;UN;Calculado;
0;2102130001;AZUL;ESCADA M1 - AZUL;166,401971;60,970117;0,000000;227,372088;UN;Calculado;
0;2102130001;CINZA;ESCADA M1 - CINZA;138,831888;60,970117;0,000000;199,802005;UN;Calculado;
0;2102130001;LARANJA;ESCADA M1 - LARANJA;182,763810;60,970117;0,000000;243,733927;UN;Calculado;
0;2102130001;LILAS;ESCADA M1 - LILAS;174,840778;60,970117;0,000000;235,810895;UN;Calculado;
0;2102130001;VERDE;ESCADA M1 - VERDE;164,959842;60,970117;0,000000;225,929959;UN;Calculado;
