Sel.;Produto;Derivação;Descrição;Custo Variável;Custo Direto Fixo;CIF;Custo Total;UM;Origem Valor;Obs.
1;2002000001;AMARELO;PEMD 0,100 KG - AMARELO;0,8998477;0;0;0,8998477;UN;Calculado;
1;2002000001;AZUL;PEMD 0,100 KG - AZUL;0,9267792;0;0;0,9267792;UN;Calculado;
1;2002000001;CINZA;PEMD 0,100 KG - CINZA;0,8903894;0;0;0,8903894;UN;Calculado;
1;2002000001;COLORID;PEMD 0,100 KG - COLORIDA;0,9248574;0;0;0,9248574;UN;Calculado;
1;2002000001;LARANJA;PEMD 0,100 KG - LARANJA;0,9116505;0;0;0,9116505;UN;Calculado;
1;2002000001;LILAS;PEMD 0,100 KG - LILAS;0,9055308;0;0;0,9055308;UN;Calculado;
1;2002000001;LIMAO;PEMD 0,100 KG - VERDE LIMAO;0,9829867;0;0;0,9829867;UN;Calculado;
1;2002000001;VERDE;PEMD 0,100 KG - VERDE;0,8889402;0;0;0,8889402;UN;Calculado;
1;2002000001;VERMELH;PEMD 0,100 KG - VERMELHO;0,8978091;0;0;0,8978091;UN;Calculado;
1;2002000002;AMARELO;PEMD 0,130 KG - AMARELO;1,16980201;0;0;1,16980201;UN;Calculado;
1;2002000002;AZUL;PEMD 0,130 KG - AZUL;1,20481296;0;0;1,20481296;UN;Calculado;
1;2002000002;CINZA;PEMD 0,130 KG - CINZA;1,15750622;0;0;1,15750622;UN;Calculado;
1;2002000002;COLORID;PEMD 0,130 KG - COLORIDA;1,20231462;0;0;1,20231462;UN;Calculado;
1;2002000002;LARANJA;PEMD 0,130 KG - LARANJA;1,18514565;0;0;1,18514565;UN;Calculado;
1;2002000002;LILAS;PEMD 0,130 KG - LILAS;1,17719004;0;0;1,17719004;UN;Calculado;
1;2002000002;LIMAO;PEMD 0,130 KG - VERDE LIMAO;1,27788271;0;0;1,27788271;UN;Calculado;
1;2002000002;VERDE;PEMD 0,130 KG - VERDE;1,15562226;0;0;1,15562226;UN;Calculado;
1;2002000002;VERMELH;PEMD 0,130 KG - VERMELHO;1,16715183;0;0;1,16715183;UN;Calculado;
1;2002000003;AMARELO;PEMD 0,140 KG - AMARELO;1,25978678;0;0;1,25978678;UN;Calculado;
1;2002000003;AZUL;PEMD 0,140 KG - AZUL;1,29749088;0;0;1,29749088;UN;Calculado;
1;2002000003;CINZA;PEMD 0,140 KG - CINZA;1,24654516;0;0;1,24654516;UN;Calculado;
